Location,Date,Temperature_C,Humidity_pct,Precipitation_mm,Wind_Speed_kmh
Chicago,2024-01-01,14.578596998679597,60.92455861358898,5.0039270671939,15.23453008651623
Chicago,2024-01-02,14.085042287434948,59.676384363502876,5.075515445819736,15.323153737790006
Chicago,2024-01-03,13.920170612342242,59.178755651332025,5.063061165571478,15.38152508692385
Chicago,2024-01-04,14.836231565214208,58.618072987647004,5.014330699227546,14.446864654302493
Chicago,2024-01-05,15.02948991888026,59.51343527318258,4.817308350167219,15.072467541770104
Chicago,2024-01-06,15.422034456468243,59.292032754033,5.086923519596869,14.917875089893103
Chicago,2024-01-07,15.116747750575616,59.955947350354535,4.8635978262513415,15.178039987288628
Chicago,2024-01-08,14.40545480362952,60.724934775359884,5.157028130994777,15.303440920698375
Chicago,2024-01-09,15.687598756677854,59.6201930235988,4.975803396364464,14.326360219751528
Chicago,2024-01-10,15.441372498165272,59.24845463889897,4.938232508320732,15.05665025802306
Chicago,2024-01-11,15.588029088729993,59.952794387972894,4.864572575881471,15.173332183107723
Chicago,2024-01-12,14.039154738184317,60.22288205600612,4.980557802081183,15.298771201251848
Chicago,2024-01-13,15.28375506214611,59.51014588954699,5.074342335356813,15.203421310631049
Chicago,2024-01-14,15.357751218555546,59.90441597391592,4.966937653969096,15.21709383170523
Chicago,2024-01-15,14.958232332377204,60.10622371290326,4.91329395883058,14.996604519688905
Chicago,2024-01-16,14.635238092718499,59.03725090608996,5.0666739840831845,15.420759025326776
Chicago,2024-01-17,15.787178722902537,60.168000114931964,5.248778755496783,14.450229465058547
Chicago,2024-01-18,14.591450978653901,60.44352597243688,4.8896464955815375,14.836585032798018
Chicago,2024-01-19,14.351460079766076,59.69861124149281,5.234786627501652,14.76880339347317
Chicago,2024-01-20,14.719405512030809,60.101918257550004,5.063464506329435,15.129107009981569
Chicago,2024-01-21,14.989747030630923,59.704369552147575,5.116226178260552,15.411380810720038
Chicago,2024-01-22,14.023882698548102,60.531910428222986,4.708136800369255,15.191315781559874
Chicago,2024-01-23,14.827972215512688,59.44930806732112,5.00959453411501,15.374272611730008
Chicago,2024-01-24,14.803427155427721,60.12960799678421,4.959313616904538,14.595448133153095
Chicago,2024-01-25,14.455159474614659,60.29530654566294,4.890295941005666,15.067701471373162
